qosItems_LA,qosItems_PLLP,qosItems_PLRP,qosItems_JI,qosItems_ST,qosItems_LCT,qosItems_RCT,qosItems_MT,qosItems_UD,qosItems_NI,qosItems_TT,qosItems_TURN_TT,qosItems_IPR_Subnet_L2,qosItems_IPL_Subnet_L2,meanOpinionScore
19.0,0.0,0.0,,,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,
1.0,0.0,0.0,1.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,5.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
94.0,0.87424344,12.116788,13.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,1.98
17.0,0.0,0.0,1.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
44.0,0.36630037,0.1497006,5.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,4.04
41.0,0.0,1.6483517,17.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,3.64
33.0,0.0,0.0,13.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,4.07
41.0,0.0,3.5897436,6.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,3.2
97.0,0.0,5.9891105,13.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,84.104.0,2.71
21.0,0.0,0.41039672,16.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.97
22.0,0.0077585536,1.010532,4.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.83
17.0,0.0,0.466827,5.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,62.166.0,3.97
20.0,0.0,0.81492215,3.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.88
18.0,0.021181952,0.010594343,1.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
36.0,0.0,0.5581915,1.0,PCMU,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.77.0,3.94
17.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
19.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
0.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
0.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
16.0,0.0,0.0,1.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,62.166.0,4.09
18.0,0.0,0.0,4.0,PCMU,srflx,host,audio,iOS,wlan,udp,,212.159.0,62.166.0,4.09
18.0,0.012902809,1.2258855,1.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.78
14.0,0.0,0.8564437,14.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.86
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
62.0,0.042194095,0.03170577,9.0,opus,srflx,srflx,audio,iOS,wwan,udp,,109.36.0,109.36.0,4.15
57.0,0.031715825,0.04224162,5.0,opus,srflx,srflx,audio,Android,wwan,udp,,109.36.0,109.36.0,4.15
19.0,0.0,1.1241876,11.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,3.79
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
1.0,0.0,0.0,2.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
18.0,0.0,0.009574417,2.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
8.0,0.0,0.0,,,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,
57.0,0.0,1.7844565,5.0,opus,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.77.0,3.3
7.0,0.023228804,2.1744628,11.0,opus,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.15
21.0,0.0,0.8830022,14.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.85
72.0,0.0,0.0,13.0,opus,relay,host,audio,iOS,wwan,udp,tcp,212.159.0,34.90.0,4.17
19.0,0.0,0.0,9.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
17.0,0.0,0.0,3.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
